mouse_id,n_ictal_segments,n_nonictal_segments,n_total_segments,ictal_prevalence_pct
m2,460,1530,1990,23.1156
m4,1108,3363,4471,24.7819
m7,2458,5614,8072,30.4509
m230,377,909,1286,29.3157
m234,105,363,468,22.4359
m235,12,171,183,6.5574
m240,578,1995,2573,22.464
m260,464,1474,1938,23.9422
m264,481,1805,2286,21.0411
m265,22,194,216,10.1852
m267,1514,3512,5026,30.1234
m270,72,331,403,17.866
m271,2333,4351,6684,34.9042
m273,1731,3298,5029,34.4204
m275,734,1605,2339,31.3809
m276,432,1148,1580,27.3418
m277,1744,5713,7457,23.3874
m278,72,340,412,17.4757
m279,1602,3181,4783,33.4936
m281,2803,4679,7482,37.4632
m282,2791,3368,6159,45.3158
m283,994,3833,4827,20.5925
m285,43,119,162,26.5432
m286,1550,3284,4834,32.0645
m287,1141,2510,3651,31.2517
m291,126,436,562,22.4199
m292,1815,4714,6529,27.7991
m293,403,1249,1652,24.3947
m294,4702,8052,12754,36.8669
m298,904,2070,2974,30.3968
m299,1664,4289,5953,27.9523
m300,892,2980,3872,23.0372
m303,20,193,213,9.3897
m310,507,1081,1588,31.927
m312,1466,3574,5040,29.0873
m315,692,1997,2689,25.7345
m316,1908,4301,6209,30.7296
m318,1002,2071,3073,32.6066
m321,4029,7666,11695,34.4506
m322,676,1728,2404,28.1198
m323,956,2320,3276,29.1819
m326,306,1142,1448,21.1326
m327,133,501,634,20.9779
m328,591,1716,2307,25.6177
m330,534,1673,2207,24.1957
m332,417,1084,1501,27.7815
m334,81,271,352,23.0114
m335,117,413,530,22.0755
m338,914,2386,3300,27.697
m340,1104,2668,3772,29.2683
m341,1554,3527,5081,30.5845
m342,284,857,1141,24.8904
m344,1333,2634,3967,33.6022
m345,1806,5381,7187,25.1287
m346,62,255,317,19.5584
m347,813,1673,2486,32.7031
m348,877,1752,2629,33.3587
m350,50,343,393,12.7226
m352,390,1372,1762,22.1339
m359,16,153,169,9.4675
m360,931,2277,3208,29.0212
m362,977,1553,2530,38.6166
m363,796,2005,2801,28.4184
m364,567,1230,1797,31.5526
m365,269,902,1171,22.9718
m367,412,1171,1583,26.0265
m369,152,361,513,29.6296
m370,482,1657,2139,22.5339
m371,575,2076,2651,21.6899
m374,1203,3658,4861,24.748
m375,381,1041,1422,26.7932
TOTAL,65510,155143,220653,29.6891
